[2024-09-09 14:22:42.354] [file_logger] [info] Initialization
[2024-09-09 14:22:42.357] [file_logger] [info] refresh_comboBox_PoseSelector triggered
[2024-09-09 14:22:58.670] [file_logger] [info] on_pushButton_clicked triggered
[2024-09-09 14:23:12.540] [file_logger] [info] on_buttonSetGripperGrip_clicked triggered
[2024-09-09 14:23:17.251] [file_logger] [info] on_buttonSetGripperRelease_clicked triggered
[2024-09-09 14:23:22.208] [file_logger] [info] on_buttonRecordPose_clicked triggered
[2024-09-09 14:23:22.334] [file_logger] [info] refresh_comboBox_PoseSelector triggered
[2024-09-09 14:47:18.167] [file_logger] [info] on_buttonSetGripperGrip_clicked triggered
[2024-09-09 15:22:04.198] [file_logger] [info] on_pushButton_clicked triggered
[2024-09-09 15:22:16.519] [file_logger] [info] on_buttonReplayAllPoses_clicked triggered
[2024-09-09 15:23:40.525] [file_logger] [info] on_pushButton_clicked triggered
[2024-09-09 15:23:45.166] [file_logger] [info] on_pushButton_clicked triggered
[2024-09-09 15:23:50.927] [file_logger] [info] on_pushButton_clicked triggered
[2024-09-09 15:24:10.148] [file_logger] [info] on_pushButton_clicked triggered
[2024-09-09 15:24:20.912] [file_logger] [info] on_buttonReplayAllPoses_clicked triggered
[2024-09-09 15:35:35.863] [file_logger] [info] on_buttonReplayAllPoses_clicked triggered
